rep,id,Cl,V1,Q,V2,R0,kout,IC50
7,15,2.83026,0.613962,2.36837,4.92032,1126.33,0.00756037,9.72651e-11
8,15,2.8208,0.677609,2.35513,4.91831,1109.76,0.00833406,1.14219e-10
9,15,2.81746,0.654008,2.35469,5.00073,1117.68,0.00527869,3.14692e-10
10,15,2.81436,0.636267,2.33057,4.96854,1122.57,0.00533741,1.5577e-10
1,16,2.81196,0.63734,2.35562,4.97292,1109.87,0.00689462,1.49735e-10
2,16,2.8082,0.610026,2.30867,4.96932,1113.38,0.00651588,1.38033e-10
3,16,2.81363,0.628738,2.34053,4.96727,1112.74,0.00888705,1.93202e-10
4,16,2.81593,0.638938,2.35213,4.99436,1118.13,0.00879611,1.18805e-10
5,16,2.81094,0.611897,2.30649,4.99835,1118.03,0.00765981,6.72253e-10
6,16,2.82236,0.573489,2.30593,4.90089,1118.87,0.00861669,1.8021e-10
7,16,2.81628,0.613389,2.3547,5.00321,1112.41,0.00679216,2.72247e-10
8,16,2.81174,0.618208,2.31109,4.96961,1122.3,0.00837375,3.68461e-10
9,16,2.81546,0.605939,2.34311,4.97988,1106.17,0.00931054,2.21517e-10
10,16,2.813,0.616494,2.3287,4.9269,1103.2,0.00604187,1.37469e-10
1,17,2.81109,0.490325,2.33967,4.95458,1120.24,0.0083855,1.78905e-10
2,17,2.81736,0.491616,2.32964,4.93795,1113.79,0.0101396,2.20023e-10
3,17,2.81578,0.47006,2.30758,4.92037,1113.82,0.00534768,1.8798e-10
4,17,2.81955,0.486356,2.36363,4.91985,1112.36,0.00612098,1.23194e-10
5,17,2.81126,0.459186,2.36566,4.87601,1115.66,0.00820613,5.57504e-11
6,17,2.8083,0.492509,2.34828,4.89279,1113.94,0.00655289,9.38557e-11
7,17,2.80877,0.503145,2.34852,4.9525,1113.83,0.00901353,1.54676e-10
8,17,2.80786,0.500397,2.34203,4.92585,1117.54,0.00861086,4.1142e-10
9,17,2.80783,0.494133,2.32822,4.91752,1111.15,0.00555884,1.44762e-10
10,17,2.814,0.493741,2.33545,4.92787,1102.68,0.00854913,1.51066e-10
1,18,2.80674,0.636967,2.33868,4.95901,1115.24,0.00580074,1.88329e-10
2,18,2.82581,0.616564,2.37173,4.82753,1113.18,0.00842804,1.4031e-10
3,18,2.83132,0.666182,2.37656,4.94511,1123.17,0.00576009,2.36992e-10
4,18,2.80988,0.597998,2.34457,4.8848,1109.12,0.00660942,2.60232e-10
5,18,2.81376,0.67531,2.33242,4.98594,1107.83,0.00646442,2.23305e-10
6,18,2.81148,0.626052,2.35138,4.95604,1108.29,0.00872343,2.11484e-10
7,18,2.82379,0.692864,2.34814,4.88248,1119.69,0.00725964,2.96974e-10
8,18,2.81657,0.64615,2.37465,4.88849,1101.54,0.0104433,1.5289e-10
9,18,2.80272,0.643225,2.34831,4.93047,1110.54,0.00685625,1.00098e-10
10,18,2.81091,0.615741,2.34489,4.92622,1125.06,0.005711,1.76414e-10
1,19,2.8154,0.879765,2.3147,4.80018,1111.44,0.00729278,1.08583e-10
2,19,2.82553,0.976459,2.29828,4.94088,1102.25,0.00777265,1.81865e-10
3,19,2.81435,0.876955,2.3092,4.84291,1109.31,0.00801315,2.55567e-10
4,19,2.82075,1.02059,2.35355,4.96301,1109.66,0.00738327,4.9492e-10
5,19,2.80944,0.938303,2.32215,4.95301,1124.97,0.00804142,2.17688e-10
6,19,2.82576,0.940413,2.34783,4.94662,1113.78,0.00720768,1.82164e-10
7,19,2.82035,0.942004,2.33545,4.84538,1110.29,0.00779477,3.41552e-10
8,19,2.81834,0.983589,2.3338,4.86842,1116.08,0.00728181,2.15964e-10
9,19,2.81084,0.884176,2.27953,4.89329,1102.73,0.00733448,1.87664e-10
10,19,2.81552,0.921889,2.32792,4.95659,1116.24,0.0070979,6.96778e-11
1,20,2.81415,0.494614,2.31493,4.92805,1115.29,0.00612443,2.59869e-10
2,20,2.81302,0.473753,2.344,5.01651,1114.33,0.00775394,1.30464e-10
3,20,2.81205,0.510079,2.36126,5.00884,1115.64,0.00972672,2.59823e-10
4,20,2.82231,0.466536,2.32156,4.87166,1118.61,0.010384,1.62515e-10
5,20,2.79949,0.449749,2.28958,4.98831,1111.02,0.00987214,3.54546e-10
6,20,2.8099,0.473032,2.31711,4.97273,1121.6,0.00775997,2.97834e-10
7,20,2.80818,0.470892,2.32607,4.95651,1116.58,0.00735834,1.28796e-10
8,20,2.81765,0.466265,2.31634,4.91089,1118.82,0.00956285,3.04766e-10
9,20,2.81023,0.509267,2.33307,4.9992,1117.47,0.00824045,1.01444e-10
10,20,2.8003,0.473888,2.33691,4.93295,1114.66,0.00879829,2.64543e-10
1,21,2.82133,0.776698,2.33227,5.05646,1114.22,0.00849729,2.01788e-10
2,21,2.8184,0.786474,2.33755,4.90295,1107.33,0.00742495,1.80701e-10
3,21,2.79653,0.780402,2.31529,5.00945,1111.41,0.00844347,1.55091e-10
4,21,2.81467,0.735717,2.32115,4.87139,1118.65,0.00934951,1.12078e-10
5,21,2.81738,0.742887,2.35009,5.04107,1112.27,0.00671556,1.57126e-10
6,21,2.80778,0.817384,2.32401,4.95926,1112.29,0.00680304,2.26658e-10
7,21,2.80607,0.767984,2.34087,4.95146,1122.12,0.00885694,3.92581e-10
8,21,2.81904,0.814916,2.32461,4.91124,1117.31,0.0107799,1.86397e-10
9,21,2.81643,0.803275,2.30408,5.00022,1116.35,0.00661144,2.37563e-10
10,21,2.82307,0.742036,2.30925,4.88603,1115.65,0.00713416,1.70815e-10
1,22,2.81907,0.517931,2.37313,4.95686,1112.83,0.00860025,2.61608e-10
2,22,2.81375,0.451146,2.3635,4.92448,1118.25,0.00692149,1.44216e-10
3,22,2.82045,0.450545,2.33887,4.95267,1118.38,0.00967581,2.49323e-10
4,22,2.80787,0.462798,2.37638,4.96266,1107.54,0.00754305,1.3284e-10
5,22,2.81524,0.464597,2.33927,4.90669,1118.61,0.00638499,2.50597e-10
6,22,2.81325,0.476391,2.34981,4.96034,1116.1,0.00769684,2.7287e-10
7,22,2.82229,0.460615,2.33222,4.88896,1118.96,0.00777441,3.40276e-10
8,22,2.81109,0.469228,2.36323,4.93273,1120.03,0.0106562,2.87359e-10
9,22,2.80978,0.461772,2.35583,4.9214,1114,0.00582938,1.69958e-10
10,22,2.8202,0.460695,2.32393,4.86913,1115.97,0.0066326,3.42654e-10
1,23,2.82755,1.28668,2.35349,5.00978,1114.95,0.00597875,2.45692e-10
2,23,2.82551,1.27354,2.34362,4.9411,1123.1,0.0111956,1.80963e-10
3,23,2.82513,1.20242,2.33303,4.96476,1109.89,0.00715446,3.12267e-10
4,23,2.81109,1.15833,2.33329,4.96966,1126.94,0.00914838,7.17801e-11
5,23,2.81239,1.21677,2.30171,5.01871,1111.49,0.00769287,1.15785e-10
6,23,2.81281,1.21252,2.33208,4.96489,1119.33,0.00897984,1.56275e-10
7,23,2.81848,1.23767,2.31467,5.00267,1111.6,0.0103827,1.35428e-10
8,23,2.81639,1.17809,2.34685,4.95624,1119.99,0.00683502,1.97797e-10
9,23,2.8165,1.18738,2.33312,4.88139,1116.19,0.00611887,4.06165e-10
10,23,2.80221,1.23511,2.30226,5.0326,1107.05,0.00826407,3.28683e-10
1,24,2.80201,0.75358,2.32788,4.98625,1103,0.00663593,2.77324e-10
2,24,2.81663,0.719961,2.34705,5.01048,1110.28,0.00635885,1.24541e-10
3,24,2.81578,0.827833,2.31459,4.94927,1116.45,0.0103575,1.40941e-10
4,24,2.8264,0.712752,2.3164,4.9346,1128.08,0.00634818,2.77285e-10
5,24,2.81981,0.748943,2.30141,4.87218,1107.47,0.006469,1.59768e-10
6,24,2.82266,0.791067,2.35014,4.84417,1121.65,0.00784639,3.48527e-10
7,24,2.81322,0.764234,2.3471,4.93632,1116.06,0.00615898,3.21062e-10
8,24,2.81992,0.783669,2.3339,4.96951,1111.48,0.00876579,3.00812e-10
9,24,2.82278,0.751397,2.30723,4.96556,1109.83,0.00757346,3.34898e-10
10,24,2.82786,0.76262,2.30951,4.87964,1110.04,0.00716076,1.62488e-10
1,25,2.81502,0.705895,2.32655,5.01906,1116.58,0.0102981,1.68732e-10
2,25,2.81982,0.63205,2.33658,4.96408,1108.26,0.0104426,1.8077e-10
3,25,2.81282,0.608108,2.3394,4.87673,1104.04,0.00908069,1.52456e-10
4,25,2.8077,0.621815,2.31176,4.93867,1112.55,0.00872996,2.14631e-10
5,25,2.80756,0.639702,2.32611,5.00377,1119.25,0.00804183,2.72597e-10
6,25,2.81771,0.629568,2.30962,4.89021,1123.7,0.00450157,1.65214e-10
7,25,2.81994,0.655982,2.31834,4.96948,1116.01,0.00565978,2.32219e-10
8,25,2.83013,0.608947,2.33395,4.98713,1124.59,0.00980132,2.28511e-10
9,25,2.82117,0.638627,2.32786,4.9509,1114.54,0.00556947,3.06671e-10
10,25,2.80527,0.657245,2.32479,4.98833,1114.24,0.00706004,1.83067e-10
1,26,2.82753,0.570891,2.32751,4.96291,1115.17,0.00703836,4.6023e-10
2,26,2.81795,0.535754,2.37156,4.97321,1114.95,0.00695958,1.5694e-10
3,26,2.81248,0.535171,2.32634,4.93389,1110.36,0.00624739,2.52566e-10
4,26,2.81944,0.559982,2.31935,4.94893,1117.71,0.00803927,1.38588e-10
5,26,2.81957,0.549539,2.31546,4.90509,1112.62,0.00884355,1.71332e-10
6,26,2.81363,0.510384,2.33596,4.93843,1127.02,0.00535532,2.89954e-10
7,26,2.82958,0.526689,2.35067,4.97983,1114.85,0.0062202,3.36092e-10
8,26,2.81068,0.515092,2.33786,4.98477,1104.86,0.00657315,2.18325e-10
9,26,2.81411,0.573036,2.31456,4.93426,1101.73,0.00960921,9.72225e-11
10,26,2.81346,0.558116,2.34014,5.0118,1116.47,0.0062472,1.36314e-10
1,27,2.81966,0.578361,2.31078,4.92454,1109.63,0.00662847,1.1316e-10
2,27,2.83304,0.625332,2.32757,4.9221,1110.55,0.00708743,3.10718e-10
3,27,2.8056,0.599481,2.32307,4.89991,1115.21,0.00882725,3.21385e-10
4,27,2.81318,0.610762,2.32623,4.97924,1109.05,0.005867,2.51889e-10
5,27,2.82664,0.588648,2.31309,4.93625,1113.78,0.00652205,4.78753e-10
6,27,2.81151,0.591188,2.34988,4.98651,1119.11,0.00744019,2.04509e-10
7,27,2.80393,0.593099,2.33118,4.96502,1116.17,0.00833178,2.27876e-10
8,27,2.84084,0.583134,2.30606,5.01239,1126.56,0.00801974,1.68497e-10
9,27,2.80512,0.580422,2.31338,4.88742,1121.19,0.00758075,8.87743e-11
10,27,2.82394,0.604891,2.30986,4.97916,1113.81,0.00692632,2.56679e-10
1,28,2.81948,0.971736,2.32134,4.93927,1121.62,0.0105624,2.69205e-10
2,28,2.83006,0.939594,2.31966,4.92999,1114.03,0.00894432,2.78699e-10
3,28,2.83032,0.922532,2.28319,4.92331,1121.57,0.00726159,3.57386e-10
4,28,2.82049,0.921776,2.31827,4.95855,1120.52,0.00725743,4.30111e-10
5,28,2.81505,0.917704,2.31929,4.96007,1111.23,0.00557481,1.99647e-10
6,28,2.80615,0.913523,2.32952,4.97613,1123.13,0.00906459,1.2514e-10
7,28,2.82725,0.940455,2.31023,4.91752,1114.92,0.00740118,2.02887e-10
8,28,2.8139,0.933367,2.30812,4.97085,1119.2,0.00846579,1.63137e-10
9,28,2.83944,0.94569,2.3402,4.91836,1120.45,0.00598496,1.54848e-10
10,28,2.83426,0.989303,2.30848,4.98777,1115.28,0.00771972,3.53557e-10
1,29,2.81203,0.66615,2.35958,4.97969,1121.57,0.0061059,9.62213e-11
2,29,2.81588,0.664195,2.35863,5.04873,1120.22,0.00662032,2.20025e-10
3,29,2.81717,0.623178,2.36216,5.00426,1101.57,0.0107841,9.90185e-11
4,29,2.80936,0.628514,2.31497,5.01779,1098.77,0.00633954,1.81979e-10
5,29,2.8195,0.636537,2.3328,4.94958,1121.37,0.00663425,2.96061e-10
6,29,2.81249,0.652152,2.32568,4.97932,1119.49,0.00781018,1.98088e-10
7,29,2.82815,0.711157,2.33384,4.9394,1117.55,0.00820113,2.4467e-10
8,29,2.80951,0.62917,2.33538,4.91218,1106.3,0.00752251,1.62426e-10
9,29,2.81576,0.614338,2.31113,4.93556,1114.48,0.0080694,1.75669e-10
10,29,2.82564,0.60364,2.33322,4.95071,1115.74,0.0075078,1.61195e-10
1,30,2.81489,1.12098,2.32961,4.91513,1123.5,0.00733969,1.00594e-10
2,30,2.8267,1.10757,2.37041,4.91984,1115.37,0.00671658,1.39336e-10
3,30,2.81472,1.16127,2.3491,4.89397,1114.82,0.00908004,1.4204e-10
4,30,2.81464,1.06766,2.35232,4.93316,1109.51,0.00762272,1.77326e-10
