rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_R0,eta_kout,eta_IC50
4,23,-0.00171884,0.517528,-0.000250489,0.00674919,0.0109868,0.17061,-1.06609
5,23,-0.00125566,0.566748,-0.0138793,0.0165691,-0.00281368,-0.00267299,-0.58796
6,23,-0.00110561,0.563248,-0.00076958,0.00578847,0.00420786,0.152015,-0.288081
7,23,0.000906332,0.583773,-0.00826576,0.013369,-0.00271902,0.297178,-0.431256
8,23,0.000166972,0.534443,0.005544,0.00404467,0.00479738,-0.120908,-0.0524546
9,23,0.000204591,0.542298,-0.000323708,-0.0111738,0.00140342,-0.231589,0.667065
10,23,-0.00488105,0.581707,-0.0136398,0.0193329,-0.0068166,0.0689498,0.4554
1,24,-0.00495371,0.0876254,-0.0025726,0.0100811,-0.0104889,-0.150468,0.285492
2,24,0.000251571,0.0419868,0.00562834,0.0149277,-0.0039074,-0.19312,-0.515059
3,24,-4.99704e-05,0.181602,-0.00829651,0.00263719,0.00163564,0.294747,-0.391355
4,24,0.00371281,0.0319232,-0.00751651,-0.000331769,0.0119943,-0.194799,0.285352
5,24,0.00137998,0.0814528,-0.0140088,-0.0130618,-0.00644479,-0.175945,-0.265973
6,24,0.00238755,0.136173,0.00694325,-0.0188262,0.00628003,0.0170861,0.51402
7,24,-0.000960362,0.101665,0.00564896,1.70623e-05,0.00128895,-0.225056,0.431938
8,24,0.00141636,0.126777,9.69189e-06,0.00671728,-0.00282925,0.127889,0.366789
9,24,0.00243258,0.0847243,-0.0114846,0.00592388,-0.00431345,-0.0183165,0.474129
10,24,0.0042297,0.0995504,-0.0104975,-0.0115313,-0.0041193,-0.0743507,-0.249089
1,25,-0.000321111,0.0222566,-0.0031449,0.0166395,0.0017479,0.288995,-0.211385
2,25,0.00138266,-0.0882419,0.00115899,0.00562397,-0.00573013,0.302923,-0.142469
3,25,-0.00110458,-0.126858,0.00236443,-0.0121274,-0.00953831,0.163184,-0.312822
4,25,-0.00292402,-0.104567,-0.00952317,0.000493209,-0.00186283,0.123794,0.0292269
5,25,-0.00297525,-0.0762072,-0.0033336,0.0135881,0.00413866,0.0416895,0.268299
