rep,id,eta_V,eta_Cl
2,36,-0.00242122,-0.00291477
3,36,0.0393714,0.00749838
4,36,0.0475655,0.00287731
5,36,-0.0128827,-0.00307063
6,36,0.0171231,0.000980599
7,36,0.00930034,0.00472774
8,36,2.64732e-05,-0.00151028
9,36,0.0431104,-0.000740031
10,36,-0.00829037,-0.00267614
1,37,-0.350151,-0.00393205
2,37,-0.351489,-0.0024707
3,37,-0.348162,-0.00202498
4,37,-0.351095,0.00609715
5,37,-0.368262,0.000174461
6,37,-0.336856,0.00514967
7,37,-0.360437,-0.00126044
8,37,-0.357287,0.00032228
9,37,-0.340664,0.00368951
10,37,-0.354373,-0.00414885
1,38,0.156104,0.00178232
2,38,0.0977597,-0.00515837
3,38,0.108057,-0.0110974
4,38,0.090509,-0.00689867
5,38,0.0905305,-0.00639566
6,38,0.119743,0.000271458
7,38,0.0953713,-0.00631037
8,38,0.104485,-0.00171041
9,38,0.133834,-0.000409322
10,38,0.149811,0.00374701
1,39,-0.167271,0.000780806
2,39,-0.151104,-0.000978383
3,39,-0.149155,-0.00544334
4,39,-0.165273,0.00730971
5,39,-0.163675,0.00170586
6,39,-0.17042,-0.00584473
7,39,-0.116952,0.00258295
8,39,-0.156885,-0.000377677
9,39,-0.154716,0.00153115
10,39,-0.174832,0.00109709
1,40,-0.112649,0.00312034
2,40,-0.163781,-0.00521812
3,40,-0.145711,0.00411879
4,40,-0.126088,0.000738356
5,40,-0.159521,-0.00516895
6,40,-0.157243,-0.0106401
7,40,-0.181554,-0.00307369
8,40,-0.142541,-0.00137908
9,40,-0.141322,-0.00504476
10,40,-0.146319,-0.00435528
1,41,0.413173,0.00034817
2,41,0.370143,-0.000680313
3,41,0.459208,-0.003083
4,41,0.419165,0.00545243
5,41,0.438449,-0.000788075
6,41,0.355424,-0.00508426
7,41,0.446348,-0.00419285
8,41,0.407931,-2.75394e-05
9,41,0.417709,0.00234108
10,41,0.463161,0.00193677
1,42,-0.277218,-0.00295152
2,42,-0.28183,0.00434732
3,42,-0.284111,-0.00125086
4,42,-0.284579,-0.00749901
5,42,-0.2662,-9.93498e-05
6,42,-0.273674,-0.00115673
7,42,-0.289896,-0.00260162
8,42,-0.293089,-0.000110069
9,42,-0.265279,0.000408635
10,42,-0.288958,0.000700822
1,43,0.137401,0.00173626
2,43,0.167724,-0.000518909
3,43,0.147095,0.00376058
4,43,0.174777,0.0058047
5,43,0.133352,0.00421356
6,43,0.175327,0.00666302
7,43,0.164138,-0.00119965
8,43,0.132348,-0.00101701
9,43,0.148244,-0.00776517
10,43,0.148659,-0.00404548
1,44,-0.480694,0.00151365
2,44,-0.500975,-0.00847801
3,44,-0.495823,-0.00756726
4,44,-0.47674,-0.000650861
5,44,-0.489678,-0.00126244
6,44,-0.478117,0.0009363
7,44,-0.489469,-5.89596e-05
8,44,-0.47634,0.000505244
9,44,-0.488153,-0.00211702
10,44,-0.470614,0.00454841
1,45,0.130974,-0.00492743
2,45,0.164038,-0.00267123
3,45,0.162742,0.00136858
4,45,0.139698,-0.0102515
5,45,0.137177,-0.00378993
6,45,0.194427,0.00147084
7,45,0.170467,-0.00177972
8,45,0.152036,0.0010167
9,45,0.146306,-0.00242407
10,45,0.165765,-0.000165931
