rep,id,eta_V,eta_Cl
4,40,-0.233728,0.0455726
5,40,-0.195555,0.0794955
6,40,-0.205544,0.0663013
7,40,-0.202717,0.0799287
8,40,-0.175234,0.0877151
9,40,-0.184242,0.0941088
10,40,-0.129864,0.127456
1,41,0.283001,-0.156814
2,41,0.319762,-0.134715
3,41,0.247493,-0.19612
4,41,0.31982,-0.152825
5,41,0.172216,-0.269891
6,41,0.395592,-0.0984367
7,41,0.237816,-0.224401
8,41,0.361504,-0.126592
9,41,0.274944,-0.183118
10,41,0.384422,-0.0838363
1,42,-0.199424,-0.0545248
2,42,-0.267011,-0.112371
3,42,-0.215361,-0.0677364
4,42,-0.311834,-0.147722
5,42,-0.176291,-0.0298235
6,42,-0.0865307,0.0477333
7,42,-0.200251,-0.051937
8,42,-0.101922,0.0245114
9,42,-0.199552,-0.0514675
10,42,-0.0529723,0.0710232
1,43,-0.0831527,0.244962
2,43,-0.111769,0.219117
3,43,-0.151851,0.191881
4,43,-0.133976,0.202586
5,43,-0.169694,0.169239
6,43,-0.108226,0.217213
7,43,-0.173785,0.165361
8,43,-0.115277,0.216475
9,43,-0.167669,0.181659
10,43,-0.107007,0.228019
1,44,-0.290483,-0.340599
2,44,-0.286062,-0.329497
3,44,-0.310548,-0.358207
4,44,-0.287385,-0.350008
5,44,-0.314433,-0.364748
6,44,-0.286247,-0.327951
7,44,-0.287063,-0.345601
8,44,-0.329649,-0.380926
9,44,-0.376749,-0.418856
10,44,-0.317297,-0.379623
1,45,0.0471036,-0.643892
2,45,0.048625,-0.663729
3,45,0.10921,-0.614608
4,45,0.127074,-0.631297
5,45,0.122748,-0.619448
6,45,0.148948,-0.591296
7,45,0.10463,-0.608351
8,45,0.120423,-0.636349
9,45,0.134868,-0.619555
10,45,0.0974288,-0.635848
